UNF paid update failed | {"orderId":51,"attempts":2,"delay":60,"error":"UNF payment_result.ok=false: {ОбщийМодуль.MfBitrixUnfOrdersUpdate.Модуль(429)}: Ошибка при вызове метода контекста (Записать): Ошибка при выполнении обработчика - 'ОбработкаПроведения': {ОбщийМодуль.ПроведениеДокументовУНФ.Модуль(182)}: Ошибка при вызове метода контекста (Записать): Запись не верна! Значение поля \"Счет учета\" не может быть пустым! (Регистр накопления: Доходы и расходы; Номер строки: 1)"}

UNF paid update failed | {"orderId":52,"attempts":2,"delay":60,"error":"UNF payment_result.ok=false: {ОбщийМодуль.MfBitrixUnfOrdersUpdate.Модуль(429)}: Ошибка при вызове метода контекста (Записать): Ошибка при выполнении обработчика - 'ОбработкаПроведения': {ОбщийМодуль.ПроведениеДокументовУНФ.Модуль(182)}: Ошибка при вызове метода контекста (Записать): Запись не верна! Значение поля \"Счет учета\" не может быть пустым! (Регистр накопления: Доходы и расходы; Номер строки: 1)"}

UNF paid update failed | {"orderId":53,"attempts":4,"delay":240,"error":"UNF payment_result.ok=false: {ОбщийМодуль.MfBitrixUnfOrdersUpdate.Модуль(429)}: Ошибка при вызове метода контекста (Записать): Ошибка при выполнении обработчика - 'ОбработкаПроведения': {ОбщийМодуль.ПроведениеДокументовУНФ.Модуль(182)}: Ошибка при вызове метода контекста (Записать): Запись не верна! Значение поля \"Счет учета\" не может быть пустым! (Регистр накопления: Доходы и расходы; Номер строки: 1)"}

UNF paid update failed | {"orderId":51,"attempts":3,"delay":120,"error":"UNF payment_result.ok=false: {ОбщийМодуль.MfBitrixUnfOrdersUpdate.Модуль(429)}: Ошибка при вызове метода контекста (Записать): Ошибка при выполнении обработчика - 'ОбработкаПроведения': {ОбщийМодуль.ПроведениеДокументовУНФ.Модуль(182)}: Ошибка при вызове метода контекста (Записать): Запись не верна! Значение поля \"Счет учета\" не может быть пустым! (Регистр накопления: Доходы и расходы; Номер строки: 1)"}

UNF paid update failed | {"orderId":52,"attempts":3,"delay":120,"error":"UNF payment_result.ok=false: {ОбщийМодуль.MfBitrixUnfOrdersUpdate.Модуль(429)}: Ошибка при вызове метода контекста (Записать): Ошибка при выполнении обработчика - 'ОбработкаПроведения': {ОбщийМодуль.ПроведениеДокументовУНФ.Модуль(182)}: Ошибка при вызове метода контекста (Записать): Запись не верна! Значение поля \"Счет учета\" не может быть пустым! (Регистр накопления: Доходы и расходы; Номер строки: 1)"}

